epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3555,1.47849,1.88272,1.57315,0.57789,0.5443,0.54928,0.17242,2.66336,2.15371,2.57312,0.000663957,0.000663957,0.000663957
2,101.081,1.5327,1.55918,1.5857,0.48847,0.46835,0.42068,0.14536,2.21284,1.95222,2.2487,0.00132799,0.00132799,0.00132799
3,147.997,1.53194,1.47138,1.58395,0.34458,0.51899,0.33173,0.10787,2.25312,2.04157,2.16444,0.00198938,0.00198938,0.00198938
4,193.66,1.50638,1.51831,1.57559,0.19113,0.17722,0.1116,0.03092,2.91711,3.9784,2.92668,0.00198812,0.00198812,0.00198812
5,235.125,1.50459,1.45033,1.57644,0.56245,0.58228,0.53984,0.19443,2.4156,1.7895,2.3739,0.00198416,0.00198416,0.00198416
6,277.396,1.42681,1.36286,1.49744,0.33997,0.4557,0.37961,0.11771,2.40571,2.34394,2.39331,0.0019802,0.0019802,0.0019802
7,319.27,1.38899,1.27168,1.48634,0.51684,0.53165,0.45,0.18196,2.2092,1.67943,2.10723,0.00197624,0.00197624,0.00197624
8,361.273,1.36776,1.30506,1.47532,0.68116,0.56793,0.61728,0.25089,2.18936,1.36194,2.00034,0.00197228,0.00197228,0.00197228
9,404.54,1.29632,1.18205,1.41583,0.79165,0.73418,0.79337,0.30508,2.20078,1.34444,2.06609,0.00196832,0.00196832,0.00196832
10,446.852,1.28771,1.13968,1.413,0.76732,0.64557,0.668,0.27154,2.14003,1.23302,2.00828,0.00196436,0.00196436,0.00196436
11,489.59,1.2711,1.1415,1.40877,0.80958,0.68354,0.75908,0.28695,2.24491,1.21795,2.20694,0.0019604,0.0019604,0.0019604
12,532.508,1.24204,1.10206,1.38773,0.68639,0.60952,0.6229,0.25391,2.22693,1.30802,2.16146,0.00195644,0.00195644,0.00195644
13,575.108,1.25244,1.08415,1.39001,0.74276,0.76758,0.76324,0.31627,2.24188,1.19686,2.09373,0.00195248,0.00195248,0.00195248
14,617.529,1.17175,1.01326,1.33053,0.8067,0.77215,0.80243,0.30668,2.31267,1.26049,2.09146,0.00194852,0.00194852,0.00194852
15,659.696,1.16874,1.00578,1.3219,0.76264,0.75949,0.74553,0.28616,2.20909,1.14498,2.01259,0.00194456,0.00194456,0.00194456
16,702.315,1.23201,1.06629,1.37271,0.74031,0.72169,0.75154,0.33017,2.26673,1.14442,2.26212,0.0019406,0.0019406,0.0019406
17,745.027,1.1592,1.00578,1.33309,0.69112,0.78481,0.75267,0.33283,2.15847,1.14417,2.07812,0.00193664,0.00193664,0.00193664
18,787.548,1.18696,1.0164,1.33749,0.73407,0.72152,0.72946,0.28565,2.29975,1.24419,2.09736,0.00193268,0.00193268,0.00193268
19,830.564,1.15637,0.95193,1.32185,0.80762,0.75949,0.75931,0.30638,2.2569,1.32129,2.07119,0.00192872,0.00192872,0.00192872
20,873.164,1.12175,0.95614,1.30534,0.75575,0.74684,0.76681,0.29994,2.19498,1.20039,1.99512,0.00192476,0.00192476,0.00192476
21,915.786,1.12914,0.95931,1.3087,0.64429,0.68354,0.6657,0.28189,2.31921,1.22681,2.35399,0.0019208,0.0019208,0.0019208
22,958.076,1.10442,0.95221,1.30666,0.84584,0.74684,0.80057,0.31032,2.36665,1.09968,2.38945,0.00191684,0.00191684,0.00191684
23,1000.42,1.10816,0.95117,1.29964,0.83466,0.76682,0.75998,0.31267,2.17412,1.03951,2.0865,0.00191288,0.00191288,0.00191288
24,1043.69,1.09769,0.91792,1.29013,0.77353,0.77215,0.79271,0.35758,2.02316,1.12971,1.87825,0.00190892,0.00190892,0.00190892
25,1087.01,1.08069,0.89624,1.26982,0.80056,0.79747,0.82922,0.34739,2.29853,1.12631,2.13105,0.00190496,0.00190496,0.00190496
26,1129.29,1.10807,0.91585,1.29572,0.87866,0.77215,0.81184,0.33168,2.07964,1.06127,1.98814,0.001901,0.001901,0.001901
27,1171.5,1.07264,0.89283,1.27222,0.76658,0.78481,0.77635,0.32821,2.28115,1.1029,2.10162,0.00189704,0.00189704,0.00189704
28,1213.77,1.05892,0.87203,1.26742,0.84082,0.70886,0.78979,0.30589,2.2776,1.12278,2.17665,0.00189308,0.00189308,0.00189308
29,1264.85,1.03028,0.8745,1.24619,0.76217,0.74684,0.77733,0.34304,2.31274,1.09301,2.16319,0.00188912,0.00188912,0.00188912
30,1306.89,1.03714,0.84011,1.2452,0.82874,0.77215,0.81289,0.33392,2.33692,1.19211,2.12652,0.00188516,0.00188516,0.00188516
31,1349.09,1.01486,0.81963,1.23358,0.75428,0.83544,0.8013,0.31814,2.36149,1.06352,2.36787,0.0018812,0.0018812,0.0018812
32,1391.58,1.01779,0.83269,1.24168,0.73593,0.65823,0.70749,0.31904,2.19472,1.15109,2.04948,0.00187724,0.00187724,0.00187724
33,1433.75,1.01438,0.82622,1.23751,0.87006,0.73418,0.78547,0.32179,2.41997,1.03881,2.33256,0.00187328,0.00187328,0.00187328
34,1476.65,1.01579,0.80628,1.23005,0.75152,0.83544,0.79027,0.33244,2.30183,1.15566,2.2491,0.00186932,0.00186932,0.00186932
35,1519.29,1.00685,0.80576,1.23474,0.85727,0.77215,0.79546,0.35975,2.15008,0.96533,2.07534,0.00186536,0.00186536,0.00186536
36,1561.8,0.98423,0.78955,1.22317,0.85094,0.83544,0.85051,0.37166,2.2343,0.95675,2.15041,0.0018614,0.0018614,0.0018614
37,1604.92,0.99011,0.79547,1.22734,0.86966,0.84463,0.84868,0.35772,2.13851,0.99806,1.96172,0.00185744,0.00185744,0.00185744
38,1647.34,0.98027,0.78629,1.21371,0.84863,0.70886,0.78969,0.34139,2.17323,1.36717,2.01833,0.00185348,0.00185348,0.00185348
39,1689.5,0.99273,0.82689,1.22248,0.80424,0.81013,0.78729,0.33432,2.23924,1.07677,2.15571,0.00184952,0.00184952,0.00184952
40,1732.06,0.96694,0.76167,1.20921,0.77767,0.72152,0.77458,0.33326,2.40367,1.21607,2.22886,0.00184556,0.00184556,0.00184556
41,1775.38,0.96747,0.77147,1.2036,0.80462,0.83409,0.84403,0.33726,2.35645,0.99267,2.29539,0.0018416,0.0018416,0.0018416
42,1818.11,0.94304,0.73331,1.18833,0.94065,0.80251,0.87005,0.37592,2.21009,0.92032,2.14207,0.00183764,0.00183764,0.00183764
43,1869.87,0.98319,0.75775,1.21243,0.86468,0.80889,0.83137,0.33446,2.33215,0.9106,2.21713,0.00183368,0.00183368,0.00183368
44,1912.51,0.92797,0.73158,1.18419,0.82695,0.81013,0.83738,0.34851,2.37066,1.02558,2.21456,0.00182972,0.00182972,0.00182972
45,1955.54,0.95254,0.73932,1.19434,0.80956,0.79747,0.78821,0.30362,2.21035,1.00508,2.1164,0.00182576,0.00182576,0.00182576
46,1998.65,0.92309,0.75496,1.17597,0.86654,0.78481,0.81789,0.34423,2.37314,1.01351,2.40608,0.0018218,0.0018218,0.0018218
47,2041.98,0.94265,0.73611,1.18945,0.87921,0.73418,0.85354,0.34496,2.16638,0.96982,2.1318,0.00181784,0.00181784,0.00181784
48,2085.31,0.9475,0.73426,1.19495,0.78958,0.76001,0.806,0.33633,2.31319,1.01764,2.37107,0.00181388,0.00181388,0.00181388
49,2134.13,0.90911,0.72172,1.16343,0.82411,0.77101,0.79897,0.34301,2.33203,1.07916,2.36076,0.00180992,0.00180992,0.00180992
50,2177.47,0.91865,0.71928,1.17613,0.83797,0.75949,0.75521,0.30383,2.39844,1.04283,2.7524,0.00180596,0.00180596,0.00180596
51,2220.68,0.94297,0.74975,1.18618,0.86914,0.79747,0.82245,0.39352,2.11768,0.97136,2.20479,0.001802,0.001802,0.001802
52,2263.78,0.91404,0.71833,1.18221,0.83965,0.7954,0.80287,0.34236,2.45228,0.98266,2.45486,0.00179804,0.00179804,0.00179804
53,2309.17,0.88259,0.68456,1.15415,0.82189,0.75949,0.78909,0.3513,2.37833,0.95679,2.36436,0.00179408,0.00179408,0.00179408
54,2352.95,0.92272,0.69422,1.17874,0.8426,0.75949,0.77889,0.34285,2.29578,0.90928,2.36982,0.00179012,0.00179012,0.00179012
55,2398.03,0.91462,0.70453,1.17228,0.80629,0.84307,0.84468,0.37403,2.27676,1.07914,2.27721,0.00178616,0.00178616,0.00178616
56,2441.21,0.90181,0.69367,1.16051,0.89531,0.75776,0.79328,0.34736,2.2016,1.10045,2.18015,0.0017822,0.0017822,0.0017822
57,2483.97,0.89613,0.69146,1.16615,0.86685,0.70886,0.80149,0.36952,2.30961,1.06554,2.291,0.00177824,0.00177824,0.00177824
58,2526.79,0.89372,0.69081,1.16348,0.86887,0.79747,0.83901,0.33995,2.3837,0.92221,2.57083,0.00177428,0.00177428,0.00177428
59,2570.26,0.92685,0.70023,1.18466,0.79842,0.79747,0.80609,0.37269,2.2854,0.98421,2.334,0.00177032,0.00177032,0.00177032
60,2613.01,0.88377,0.6842,1.14923,0.78343,0.73266,0.73954,0.33074,2.15516,1.00967,2.06337,0.00176636,0.00176636,0.00176636
61,2656.02,0.85155,0.65566,1.13716,0.87442,0.82278,0.83629,0.3544,2.14493,0.99186,2.17713,0.0017624,0.0017624,0.0017624
62,2701.03,0.83514,0.63739,1.12558,0.81709,0.73514,0.79889,0.3482,2.24049,1.00289,2.32529,0.00175844,0.00175844,0.00175844
63,2744.49,0.8752,0.65122,1.15548,0.83039,0.81013,0.81789,0.35924,2.24939,1.0257,2.32033,0.00175448,0.00175448,0.00175448
64,2788.53,0.87752,0.66738,1.1426,0.86178,0.79747,0.8329,0.3464,2.24147,0.91673,2.47343,0.00175052,0.00175052,0.00175052
65,2835.46,0.84328,0.63289,1.12124,0.84337,0.77215,0.79037,0.33489,2.40149,0.97028,2.76186,0.00174656,0.00174656,0.00174656
66,2879.51,0.86868,0.6535,1.1384,0.87121,0.77215,0.81391,0.34825,2.21635,1.02559,2.33397,0.0017426,0.0017426,0.0017426
67,2933.73,0.85287,0.63926,1.12551,0.8645,0.80761,0.83216,0.37472,2.34678,0.99538,2.64777,0.00173864,0.00173864,0.00173864
68,2976.83,0.87714,0.65903,1.1437,0.88221,0.75847,0.79429,0.34482,2.16213,1.02502,2.20042,0.00173468,0.00173468,0.00173468
69,3019.56,0.83521,0.63343,1.12724,0.9352,0.82278,0.85468,0.36384,2.21342,0.95052,2.36871,0.00173072,0.00173072,0.00173072
70,3063,0.85191,0.63325,1.13043,0.85477,0.73418,0.77675,0.3263,2.44864,0.98956,2.86516,0.00172676,0.00172676,0.00172676
71,3106.21,0.84927,0.64203,1.12147,0.84402,0.82278,0.78986,0.34408,2.43388,0.95195,3.0499,0.0017228,0.0017228,0.0017228
72,3149.19,0.8289,0.60872,1.11504,0.85738,0.77215,0.8268,0.37886,2.31156,0.86299,2.52555,0.00171884,0.00171884,0.00171884
73,3192.49,0.8233,0.60089,1.12137,0.84789,0.81013,0.81098,0.33454,2.343,0.90511,2.54903,0.00171488,0.00171488,0.00171488
74,3235.99,0.83296,0.62307,1.12101,0.86012,0.7784,0.80672,0.34691,2.35146,0.93858,2.52026,0.00171092,0.00171092,0.00171092
75,3278.92,0.81825,0.61649,1.11993,0.86593,0.78481,0.82596,0.35111,2.36571,0.92981,2.77579,0.00170696,0.00170696,0.00170696
76,3322.7,0.82969,0.61643,1.13269,0.84102,0.81013,0.81855,0.33444,2.38374,0.99845,2.63146,0.001703,0.001703,0.001703
77,3365.54,0.83044,0.59266,1.11753,0.79981,0.7586,0.71122,0.28211,2.45573,1.00017,2.86389,0.00169904,0.00169904,0.00169904
78,3408.57,0.80525,0.61832,1.10743,0.84659,0.77215,0.78513,0.32456,2.40589,0.99023,2.86404,0.00169508,0.00169508,0.00169508
79,3454.02,0.82125,0.60638,1.10256,0.84882,0.75949,0.77973,0.31622,2.40678,1.11001,2.55959,0.00169112,0.00169112,0.00169112
80,3499.54,0.78789,0.58354,1.0953,0.87414,0.78481,0.83818,0.36117,2.18975,0.89033,2.63621,0.00168716,0.00168716,0.00168716
81,3545.61,0.81243,0.58117,1.1125,0.85341,0.73418,0.80261,0.34616,2.24479,0.93813,2.36668,0.0016832,0.0016832,0.0016832
82,3591.84,0.81617,0.58479,1.10945,0.87645,0.81013,0.84776,0.37948,2.26294,0.94618,2.45335,0.00167924,0.00167924,0.00167924
83,3635.6,0.79904,0.57541,1.08962,0.8625,0.74684,0.79128,0.33625,2.4415,0.91943,2.60462,0.00167528,0.00167528,0.00167528
84,3678.77,0.78845,0.5817,1.09879,0.77621,0.70251,0.71989,0.29302,2.46527,1.02485,2.81746,0.00167132,0.00167132,0.00167132
85,3722.27,0.78964,0.57972,1.08683,0.82101,0.75486,0.76809,0.33689,2.3882,0.93476,2.48661,0.00166736,0.00166736,0.00166736
86,3765.29,0.78742,0.57501,1.08984,0.88956,0.78481,0.8299,0.33272,2.43513,0.98865,2.76626,0.0016634,0.0016634,0.0016634
87,3808.68,0.79303,0.5727,1.09536,0.81528,0.78218,0.81268,0.34639,2.37812,0.93172,2.59777,0.00165944,0.00165944,0.00165944
88,3859.1,0.77624,0.56359,1.08243,0.90662,0.75949,0.83015,0.33432,2.4168,0.8895,2.70945,0.00165548,0.00165548,0.00165548
89,3901.81,0.78472,0.57438,1.09134,0.87267,0.78082,0.80922,0.3595,2.34582,0.93613,2.79656,0.00165152,0.00165152,0.00165152
90,3945.16,0.77801,0.56504,1.09168,0.84491,0.74684,0.8066,0.3486,2.35786,0.95347,2.7935,0.00164756,0.00164756,0.00164756
